train_smiles,test_smiles
[C:1]([S:2][C@:3]([C:4]([N:5]([H:19])[H:20])([H:17])[H:18])([c:6]1[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]([I:11])[c:12]1[H:24])[H:16])([H:13])([H:14])[H:15],[C:1]([S:2][C@@:3]([C:4]([N:5]([H:19])[H:20])([H:17])[H:18])([c:6]1[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]([I:11])[c:12]1[H:24])[H:16])([H:13])([H:14])[H:15]
[H:14][C:5]1=[C:4]([C:3](=[C:2]([S:6]1)[C:1]([H:11])([H:12])[H:13])[C:9]([H:18])([H:19])[O:10][H:20])[C:7]([H:15])([H:16])[O:8][H:17],[H:14][C:5]1=[C:4]([C:3](=[C:2]([S:6]1)[C:1]([H:11])([H:12])[H:13])[C:9]([H:18])([H:19])[O:10][H:20])[C:7]([H:15])([H:16])[O:8][H:17]
[H:13][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:21])[H:22])([H:20])[C:7]([H:23])([H:24])[O:8][H:25])([H:19])[C:9]([H:26])([H:27])[C:10]([H:28])([H:29])[C:11]([H:30])([H:31])[N+:12]([H:32])([H:33])[H:34])([H:17])[H:18])([H:15])[H:16])[H:14],[H:13][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:21])[H:22])([H:20])[C:7]([H:23])([H:24])[O:8][H:25])([H:19])[C:9]([H:26])([H:27])[C:10]([H:28])([H:29])[C:11]([H:30])([H:31])[N+:12]([H:32])([H:33])[H:34])([H:17])[H:18])([H:15])[H:16])[H:14]
[C:1]([C@@:2]1([H:16])[C:3]([H:17])([H:18])[C@@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([H:22])[c:11]1[I:12])[H:19])([H:13])([H:14])[H:15],[C:1]([C@:2]1([H:16])[C:3]([H:17])([H:18])[C@@:4]1([c:5]1[c:6]([H:20])[c:7]([H:21])[c:8]([I:9])[c:10]([H:22])[c:11]1[I:12])[H:19])([H:13])([H:14])[H:15]
[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([C:3]([H:17])([H:18])[H:19])[C:4]([H:20])([H:21])[C:5]([H:22])([C:6]1=[N:11][N:10]([C:8](=[S:9])[N:7]1[H:23])[H:24])[N+:12]([H:25])([H:26])[H:27],[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([C:3]([H:17])([H:18])[H:19])[C:4]([H:20])([H:21])[C:5]([H:22])([C:6]1=[N:11][N:10]([C:8](=[S:9])[N:7]1[H:23])[H:24])[N+:12]([H:25])([H:26])[H:27]
[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[N+:4](=[C:5]([N:6]([H:17])[H:18])[S:7][C:8]([H:19])([H:20])[H:21])[H:16],[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[N+:4](=[C:5]([N:6]([H:17])[H:18])[S:7][C:8]([H:19])([H:20])[H:21])[H:16]
[H:22][C:21]([H:23])([H:24])[C:14]([H:15])([C:11]([H:12])([H:13])[N:2]([H:1])[C:3](=[N+:4]([H:5])[H:6])[C:7]([Br:8])([Br:9])[Br:10])[O:16][C:17]([H:18])([H:19])[H:20],[H:22][C:21]([H:23])([H:24])[C:14]([H:15])([C:11]([H:12])([H:13])[N:2]([H:1])[C:3](=[N+:4]([H:5])[H:6])[C:7]([Br:8])([Br:9])[Br:10])[O:16][C:17]([H:18])([H:19])[H:20]
[H:13][C:3]1=[C:2]([C:1]([O:6][C:4]1=[O:5])([H:11])[H:12])[C:7]([H:14])([H:15])[S:8][C:9](=[S:10])[H:16],[H:13][C:3]1=[C:2]([C:1]([O:6][C:4]1=[O:5])([H:11])[H:12])[C:7]([H:14])([H:15])[S:8][C:9](=[S:10])[H:16]
[H:17][C:1](=[O:2])[C@:3]1([C@@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18],[H:17][C:1](=[O:2])[C@:3]1([C@@:15]([C@:13]([C@:11]([C@:5]([O:4]1)([H:19])[O:6][Si:7]([C:8]([H:20])([H:21])[H:22])([O:9][H:23])[O:10][H:24])([H:25])[O:12][H:26])([H:27])[O:14][H:28])([H:29])[O:16][H:30])[H:18]
[N:1]([C@:2]([C:3](=[O:4])[H:16])([C:5]([C:6]1=[C:11]([I:12])[N:10]([H:19])[C:8]([I:9])=[N:7]1)([H:17])[H:18])[H:15])([H:13])[H:14],[N:1]([C@@:2]([C:3](=[O:4])[H:16])([C:5]([C:6]1=[C:11]([I:12])[N:10]([H:19])[C:8]([I:9])=[N:7]1)([H:17])[H:18])[H:15])([H:13])[H:14]
[H:13][C:1]1=[N:2][N:3]=[C:4]2[N:5]1[N:6]=[C:7]([O:8]2)[S:9][C:10]([H:14])([H:15])[C:11](=[O:12])[H:16],[H:13][C:1]1=[N:2][N:3]=[C:4]2[N:5]1[N:6]=[C:7]([O:8]2)[S:9][C:10]([H:14])([H:15])[C:11](=[O:12])[H:16]
[H:11][C:1]1([C:5](=[O:6])[N:4]([C:3]([C:2]1([H:13])[H:14])([C:7]([H:16])([H:17])[O:8][H:18])[C:9]([H:19])([H:20])[O:10][H:21])[H:15])[H:12],[H:11][C:1]1([C:5](=[O:6])[N:4]([C:3]([C:2]1([H:13])[H:14])([C:7]([H:16])([H:17])[O:8][H:18])[C:9]([H:19])([H:20])[O:10][H:21])[H:15])[H:12]
[C:1]([O:2][C:3]([C:4]([N+:5]([C@:6]([N:7]([H:22])[H:23])([C:8]([I:9])([I:10])[I:11])[H:21])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:12])([H:13])[H:14],[C:1]([O:2][C:3]([C:4]([N+:5]([C@@:6]([N:7]([H:22])[H:23])([C:8]([I:9])([I:10])[I:11])[H:21])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:12])([H:13])[H:14]
[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([C:3]([H:13])([H:14])[C:4]([H:15])([F:5])[F:6])[C:7]([H:16])([H:17])[N+:8]([H:18])([H:19])[H:20],[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([C:3]([H:13])([H:14])[C:4]([H:15])([F:5])[F:6])[C:7]([H:16])([H:17])[N+:8]([H:18])([H:19])[H:20]
[H:22][C:10]1=[C:6]([C:7](=[N:8][O:9]1)[H:21])[C:5]([H:19])([H:20])[N:4]([H:18])[C:3]([H:16])([H:17])[C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13],[H:22][C:10]1=[C:6]([C:7](=[N:8][O:9]1)[H:21])[C:5]([H:19])([H:20])[N:4]([H:18])[C:3]([H:16])([H:17])[C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13]
[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([H:17])[S:3][C:4]1=[N:10][N:9]([C:7](=[O:8])[N:6]=[C:5]1[S:11][C:12]([H:19])([H:20])[H:21])[H:18],[H:13][C:1]([H:14])([H:15])[C:2]([H:16])([H:17])[S:3][C:4]1=[N:10][N:9]([C:7](=[O:8])[N:6]=[C:5]1[S:11][C:12]([H:19])([H:20])[H:21])[H:18]
[H:32][C:11](=[O:12])[C:8]1([C:7]([C:6]([C:5]([C:10]([C:9]1([H:28])[H:29])([H:30])[H:31])([H:22])[C:4]([H:20])([H:21])[N+:3]([H:18])([H:19])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:23])[H:24])([H:25])[H:26])[H:27],[H:32][C:11](=[O:12])[C:8]1([C:7]([C:6]([C:5]([C:10]([C:9]1([H:28])[H:29])([H:30])[H:31])([H:22])[C:4]([H:20])([H:21])[N+:3]([H:18])([H:19])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])([H:23])[H:24])([H:25])[H:26])[H:27]
[H:13][C:1]1([C:2]([O:3][C:4]([C:5]([C:6]1([H:21])[C:7]([H:22])([H:23])[C:8]([H:24])([C:9]([H:25])([H:26])[N:10]([H:27])[H:28])[C:11]([H:29])([H:30])[O:12][H:31])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14],[H:13][C:1]1([C:2]([O:3][C:4]([C:5]([C:6]1([H:21])[C:7]([H:22])([H:23])[C:8]([H:24])([C:9]([H:25])([H:26])[N:10]([H:27])[H:28])[C:11]([H:29])([H:30])[O:12][H:31])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14]
[H:24][C:9]1=[C:8]([N:12]([N:11]=[C:10]1[H:25])[H:26])[C:7]([H:22])([H:23])[N+:5]([H:18])([C:6]([H:19])([H:20])[H:21])[C:2]([H:16])([C:3](=[O:4])[H:17])[C:1]([H:13])([H:14])[H:15],[H:24][C:9]1=[C:8]([N:12]([N:11]=[C:10]1[H:25])[H:26])[C:7]([H:22])([H:23])[N+:5]([H:18])([C:6]([H:19])([H:20])[H:21])[C:2]([H:16])([C:3](=[O:4])[H:17])[C:1]([H:13])([H:14])[H:15]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[N+:6]([H:23])([C:7]([H:24])([H:25])[C:8]([H:26])([H:27])[H:28])[C:9]([H:29])([H:30])[C:10]([H:31])([H:32])[O:11][H:33],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[N+:6]([H:23])([C:7]([H:24])([H:25])[C:8]([H:26])([H:27])[H:28])[C:9]([H:29])([H:30])[C:10]([H:31])([H:32])[O:11][H:33]
[H:17][C:5]1=[C:6]([C:7]([N:2]([C:3]([C:4]1([H:15])[H:16])([H:13])[H:14])[C:1]([H:10])([H:11])[H:12])([H:18])[H:19])[C:8]([H:20])([H:21])[N:9]([H:22])[H:23],[H:17][C:5]1=[C:6]([C:7]([N:2]([C:3]([C:4]1([H:15])[H:16])([H:13])[H:14])[C:1]([H:10])([H:11])[H:12])([H:18])[H:19])[C:8]([H:20])([H:21])[N:9]([H:22])[H:23]
[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([C:3]([H:14])([H:15])[H:16])[C:4]([H:17])([C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[N+:7]([H:22])([H:23])[C:8]([H:24])([H:25])[H:26])[N+:9]([H:27])([H:28])[H:29],[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([C:3]([H:14])([H:15])[H:16])[C:4]([H:17])([C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[N+:7]([H:22])([H:23])[C:8]([H:24])([H:25])[H:26])[N+:9]([H:27])([H:28])[H:29]
[H:26][C:9]#[C:8][C:7]([H:24])([H:25])[C:6]([H:23])([C:10](=[O:11])[H:27])[N+:3]([H:17])([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[H:22],[H:26][C:9]#[C:8][C:7]([H:24])([H:25])[C:6]([H:23])([C:10](=[O:11])[H:27])[N+:3]([H:17])([C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:4]([H:18])([H:19])[C:5]([H:20])([H:21])[H:22]
[H:17][C:6]1([C:4](=[O:5])[C:3]([O:9][C:7]1=[O:8])([H:16])[C:2]([H:15])([C:1]([H:13])([H:14])[O:12][H:20])[O:11][H:19])[O:10][H:18],[H:17][C:6]1([C:4](=[O:5])[C:3]([O:9][C:7]1=[O:8])([H:16])[C:2]([H:15])([C:1]([H:13])([H:14])[O:12][H:20])[O:11][H:19])[O:10][H:18]
[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[S:3][C:4]([H:16])([H:17])[C:5]([H:18])([C:6](=[O:7])[C:8]([H:19])([H:20])[Cl:9])[N:10]([H:21])[H:22],[H:11][C:1]([H:12])([H:13])[C:2]([H:14])([H:15])[S:3][C:4]([H:16])([H:17])[C:5]([H:18])([C:6](=[O:7])[C:8]([H:19])([H:20])[Cl:9])[N:10]([H:21])[H:22]
[H:33][C:12](=[C:11]([H:32])[C:10]([H:30])([H:31])[C:4]1([C:3]([C:2]([N+:7]([C:6]([C:5]1([H:20])[C:9]([H:27])([H:28])[H:29])([H:21])[H:22])([H:23])[C:8]([H:24])([H:25])[H:26])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:19])[H:34],[H:33][C:12](=[C:11]([H:32])[C:10]([H:30])([H:31])[C:4]1([C:3]([C:2]([N+:7]([C:6]([C:5]1([H:20])[C:9]([H:27])([H:28])[H:29])([H:21])[H:22])([H:23])[C:8]([H:24])([H:25])[H:26])([H:16])[C:1]([H:13])([H:14])[H:15])([H:17])[H:18])[H:19])[H:34]
[H:10][C:1]1=[N:5][S:4][C:3](=[N:2]1)[N:6]([H:11])[C:7]([H:12])([H:13])[C:8]([H:14])([H:15])[O:9][H:16],[H:10][C:1]1=[N:5][S:4][C:3](=[N:2]1)[N:6]([H:11])[C:7]([H:12])([H:13])[C:8]([H:14])([H:15])[O:9][H:16]
[C:1]([N+:2]([C@:3]([C:4]([H:19])([H:20])[H:21])([c:5]1[c:6]([H:22])[c:7]([H:23])[c:8]([I:9])[c:10]([I:11])[c:12]1[H:24])[H:18])([H:16])[H:17])([H:13])([H:14])[H:15],[C:1]([N+:2]([C@@:3]([C:4]([H:19])([H:20])[H:21])([c:5]1[c:6]([H:22])[c:7]([H:23])[c:8]([I:9])[c:10]([I:11])[c:12]1[H:24])[H:18])([H:16])[H:17])([H:13])([H:14])[H:15]
[H:25][C:9]1=[C:8]([N:7]([C:6](=[N:10]1)[C:5]([H:22])([H:23])[C:4]([H:20])([H:21])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])[H:24])[C:11]#[N:12],[H:25][C:9]1=[C:8]([N:7]([C:6](=[N:10]1)[C:5]([H:22])([H:23])[C:4]([H:20])([H:21])[N+:2]([H:16])([C:1]([H:13])([H:14])[H:15])[C:3]([H:17])([H:18])[H:19])[H:24])[C:11]#[N:12]
[H:15][C:1](=[O:2])[C@:3]([H:16])([C@:5]([H:18])([C@@:7]1([C@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17],[H:15][C:1](=[O:2])[C@@:3]([H:16])([C@:5]([H:18])([C@:7]1([C@@:12]([O:11][B:9]([O:8]1)[O:10][H:21])([H:22])[C:13]([H:23])([H:24])[O:14][H:25])[H:20])[O:6][H:19])[O:4][H:17]
[H:9][C:1]([H:10])([H:11])[N+:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7][C:8]([H:22])([H:23])[H:24],[H:9][C:1]([H:10])([H:11])[N+:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([H:21])[O:7][C:8]([H:22])([H:23])[H:24]
[H:22][C:11]([H:23])([H:24])[C:8]1=[N:9][N:10]=[C:6]([N:7]1[H:21])[S:5][C:3]([H:17])([C:4]([H:18])([H:19])[H:20])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14],[H:22][C:11]([H:23])([H:24])[C:8]1=[N:9][N:10]=[C:6]([N:7]1[H:21])[S:5][C:3]([H:17])([C:4]([H:18])([H:19])[H:20])[C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14]
[H:11][C@:2]([B:3]([O:4][H:12])[O:5][H:13])([C:6]([H:14])([C:7]([H:15])([H:16])[H:17])[C:8]([H:18])([H:19])[H:20])[N:1]([H:9])[H:10],[H:11][C@:2]([B:3]([O:4][H:12])[O:5][H:13])([C:6]([H:14])([C:7]([H:15])([H:16])[H:17])[C:8]([H:18])([H:19])[H:20])[N:1]([H:9])[H:10]
[H:25][c:8]1[c:7]([c:6]([c:11]([c:10]([c:9]1[H:26])[F:12])[H:27])[C:5]([H:22])([H:23])[N+:3]([H:18])([C:4]([H:19])([H:20])[H:21])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:24],[H:25][c:8]1[c:7]([c:6]([c:11]([c:10]([c:9]1[H:26])[F:12])[H:27])[C:5]([H:22])([H:23])[N+:3]([H:18])([C:4]([H:19])([H:20])[H:21])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:24]
[H:21][C:6]1=[C:7]([N:8]([C:9](=[C:5]1[N:4]([H:20])[C:3]([H:18])([H:19])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[O:10][H:22])[C:11]([H:23])([H:24])[H:25])[O:12][H:26],[H:21][C:6]1=[C:7]([N:8]([C:9](=[C:5]1[N:4]([H:20])[C:3]([H:18])([H:19])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[O:10][H:22])[C:11]([H:23])([H:24])[H:25])[O:12][H:26]
[H:13][C:5](=[C:4]([C:2](=[O:3])[C:1]([H:10])([H:11])[H:12])[C:7]([H:15])([H:16])[C:8](=[O:9])[H:17])[O:6][H:14],[H:13][C:5](=[C:4]([C:2](=[O:3])[C:1]([H:10])([H:11])[H:12])[C:7]([H:15])([H:16])[C:8](=[O:9])[H:17])[O:6][H:14]
[H:13][C:1]1=[C:2]([N:3]([N:4]([C:5]1=[O:6])[H:15])[H:14])[C:7]([C:8]([H:16])([F:9])[F:10])([F:11])[F:12],[H:13][C:1]1=[C:2]([N:3]([N:4]([C:5]1=[O:6])[H:15])[H:14])[C:7]([C:8]([H:16])([F:9])[F:10])([F:11])[F:12]
[H:17][C:5]1([C:6]([O:7][C:2]([C:3]([O:4]1)([H:15])[H:16])([C:1]([H:12])([H:13])[H:14])[C:8]([H:21])([H:22])[S:9](=[O:10])[O-:11])([H:19])[H:20])[H:18],[H:17][C:5]1([C:6]([O:7][C:2]([C:3]([O:4]1)([H:15])[H:16])([C:1]([H:12])([H:13])[H:14])[C:8]([H:21])([H:22])[S:9](=[O:10])[O-:11])([H:19])[H:20])[H:18]
[H:11][C:1]([H:12])([H:13])[N:2]([H:14])[C:3]([H:15])([C:8](=[O:9])[O-:10])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[S:6][C:7]([H:20])([H:21])[H:22],[H:11][C:1]([H:12])([H:13])[N:2]([H:14])[C:3]([H:15])([C:8](=[O:9])[O-:10])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[S:6][C:7]([H:20])([H:21])[H:22]
[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26],[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26]
[H:23][c:10]1[c:9]([c:8]([n+:7]([c:12]([c:11]1[H:24])[H:25])[C:6]([H:19])([H:20])[C:4](=[S:5])[N:3]([H:18])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:21])[H:22],[H:23][c:10]1[c:9]([c:8]([n+:7]([c:12]([c:11]1[H:24])[H:25])[C:6]([H:19])([H:20])[C:4](=[S:5])[N:3]([H:18])[C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:21])[H:22]
[C:1]([S:2][C@@:3]([C:4]([N:5]([H:19])[H:20])([H:17])[H:18])([c:6]1[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]([I:11])[c:12]1[H:24])[H:16])([H:13])([H:14])[H:15],[C:1]([S:2][C@@:3]([C:4]([N:5]([H:19])[H:20])([H:17])[H:18])([c:6]1[c:7]([H:21])[c:8]([H:22])[c:9]([H:23])[c:10]([I:11])[c:12]1[H:24])[H:16])([H:13])([H:14])[H:15]
[H:14][c:2]1[c:1]([c:6]([c:5]([c:4]([c:3]1[H:15])[C:11](=[O:12])[H:19])[C:7]([H:17])([H:18])[S:8](=[O:9])[O-:10])[H:16])[H:13],[H:14][c:2]1[c:1]([c:6]([c:5]([c:4]([c:3]1[H:15])[C:11](=[O:12])[H:19])[C:7]([H:17])([H:18])[S:8](=[O:9])[O-:10])[H:16])[H:13]
[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26],[C:1]1([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C@:4]2([I:12])[C:5]([H:19])([H:20])[C:6]([H:21])=[C:7]([H:22])[C:8]([H:23])([H:24])[C@@:9]2([N:11]([H:27])[H:28])[C:10]1([H:25])[H:26]
[H:10][C:1]([H:11])([H:12])[S:2](=[O:3])(=[O:4])[C:5]([H:13])([C:6]([H:14])([H:15])[O:7][H:16])[C:8]([H:17])([H:18])[O:9][H:19],[H:10][C:1]([H:11])([H:12])[S:2](=[O:3])(=[O:4])[C:5]([H:13])([C:6]([H:14])([H:15])[O:7][H:16])[C:8]([H:17])([H:18])[O:9][H:19]
[H:29][C:10]1([C:11]([O:12][C:8]([O:9]1)([H:28])[C:2]([C:1]([H:13])([H:14])[H:15])([C:3]([H:16])([H:17])[H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[C:6]([H:23])([H:24])[N+:7]([H:25])([H:26])[H:27])([H:31])[H:32])[H:30],[H:29][C:10]1([C:11]([O:12][C:8]([O:9]1)([H:28])[C:2]([C:1]([H:13])([H:14])[H:15])([C:3]([H:16])([H:17])[H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[C:6]([H:23])([H:24])[N+:7]([H:25])([H:26])[H:27])([H:31])[H:32])[H:30]
[H:19][c:6]1[c:5]([c:4]([n:9][c:8]([c:7]1[H:20])[S:10](=[O:11])[O-:12])[S:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:18],[H:19][c:6]1[c:5]([c:4]([n:9][c:8]([c:7]1[H:20])[S:10](=[O:11])[O-:12])[S:3][C:2]([H:16])([H:17])[C:1]([H:13])([H:14])[H:15])[H:18]
[H:23][C:7]1([C:8]([C:9]([N+:5]([C:6]1([H:21])[H:22])([H:20])[C:4]([H:18])([H:19])[C:3]([H:17])([C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[O:12][H:33])[N:10]([H:29])[C:11]([H:30])([H:31])[H:32])([H:27])[H:28])([H:25])[H:26])[H:24],[H:23][C:7]1([C:8]([C:9]([N+:5]([C:6]1([H:21])[H:22])([H:20])[C:4]([H:18])([H:19])[C:3]([H:17])([C:2]([H:16])([C:1]([H:13])([H:14])[H:15])[O:12][H:33])[N:10]([H:29])[C:11]([H:30])([H:31])[H:32])([H:27])[H:28])([H:25])[H:26])[H:24]
[H:9][C:1]([H:10])([C:2]([H:11])([H:12])[N:3]([H:13])[H:14])[C:4]([H:15])([C:5]([H:16])([F:6])[F:7])[N:8]([H:17])[H:18],[H:9][C:1]([H:10])([C:2]([H:11])([H:12])[N:3]([H:13])[H:14])[C:4]([H:15])([C:5]([H:16])([F:6])[F:7])[N:8]([H:17])[H:18]
[H:18][C:6]1=[C:7]([O:8][C:4](=[N:5]1)[C:3]([H:16])([H:17])[C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[C:9]([H:19])([H:20])[N:10]([H:21])[H:22],[H:18][C:6]1=[C:7]([O:8][C:4](=[N:5]1)[C:3]([H:16])([H:17])[C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[C:9]([H:19])([H:20])[N:10]([H:21])[H:22]
[H:13][C:4](=[N+:5]([H:14])[H:15])[C:3]([H:11])([H:12])[C:2]([H:10])([C:1]([H:7])([H:8])[H:9])[O:6][H:16],[H:13][C:4](=[N+:5]([H:14])[H:15])[C:3]([H:11])([H:12])[C:2]([H:10])([C:1]([H:7])([H:8])[H:9])[O:6][H:16]
[H:17][C:5](=[O:6])[C:4]([H:15])([H:16])[C:3]1([C:1]([C:2]1([H:13])[H:14])([H:11])[H:12])[C:7]([H:18])([H:19])[S:8](=[O:9])[O-:10],[H:17][C:5](=[O:6])[C:4]([H:15])([H:16])[C:3]1([C:1]([C:2]1([H:13])[H:14])([H:11])[H:12])[C:7]([H:18])([H:19])[S:8](=[O:9])[O-:10]
[H:24][C:9](=[C:8]([H:23])[C:7]([H:21])([H:22])[N+:6]([H:20])([C:10]([H:26])([H:27])[C:11](=[C:12]([H:29])[H:30])[H:28])[C:2]([C:4](=[O:5])[H:19])([C:1]([H:13])([H:14])[H:15])[C:3]([H:16])([H:17])[H:18])[H:25],[H:24][C:9](=[C:8]([H:23])[C:7]([H:21])([H:22])[N+:6]([H:20])([C:10]([H:26])([H:27])[C:11](=[C:12]([H:29])[H:30])[H:28])[C:2]([C:4](=[O:5])[H:19])([C:1]([H:13])([H:14])[H:15])[C:3]([H:16])([H:17])[H:18])[H:25]
[H:13][C:1]1=[C:2]([N+:3](=[C:4]2[N:5]1[C:6]([C:7]([C:8]([N:9]2[H:21])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14])[C:10]([H:22])([H:23])[C:11]([H:24])([H:25])[O:12][H:26],[H:13][C:1]1=[C:2]([N+:3](=[C:4]2[N:5]1[C:6]([C:7]([C:8]([N:9]2[H:21])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14])[C:10]([H:22])([H:23])[C:11]([H:24])([H:25])[O:12][H:26]
[H:16][C@@:6]1([C:5]([C@:3]([C:2]([N:1]1[H:10])([H:11])[H:12])([H:13])[Cl:4])([H:14])[H:15])[B:7]([O:8][H:17])[O:9][H:18],[H:16][C@:6]1([C:5]([C@@:3]([C:2]([N:1]1[H:10])([H:11])[H:12])([H:13])[Cl:4])([H:14])[H:15])[B:7]([O:8][H:17])[O:9][H:18]
[H:15][C:4](=[O:5])[C:3]([H:13])([H:14])[C:2]([H:12])([C:1]([H:9])([H:10])[H:11])[S:6](=[O:7])[O:8][H:16],[H:15][C:4](=[O:5])[C:3]([H:13])([H:14])[C:2]([H:12])([C:1]([H:9])([H:10])[H:11])[S:6](=[O:7])[O:8][H:16]
[H:18][C:5](=[O:6])[C:4]([H:16])([H:17])[C:2]([C:1]([H:10])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])[C:7]([H:19])([H:20])[O:8][C:9]([H:21])([H:22])[H:23],[H:18][C:5](=[O:6])[C:4]([H:16])([H:17])[C:2]([C:1]([H:10])([H:11])[H:12])([C:3]([H:13])([H:14])[H:15])[C:7]([H:19])([H:20])[O:8][C:9]([H:21])([H:22])[H:23]
[H:16][C:6]1=[C:5]([N:4]=[C:3]([S:7]1)[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[O:10][C:11]([H:22])([H:23])[H:24])[C:8]([H:17])([H:18])[N+:9]([H:19])([H:20])[H:21],[H:16][C:6]1=[C:5]([N:4]=[C:3]([S:7]1)[C:2]([H:15])([C:1]([H:12])([H:13])[H:14])[O:10][C:11]([H:22])([H:23])[H:24])[C:8]([H:17])([H:18])[N+:9]([H:19])([H:20])[H:21]
