train_smiles,test_smiles
[H:25][C:10]1=[C:9]([N:8]([C:12](=[N:11]1)[H:26])[C:7]([H:22])([H:23])[C:5](=[O:6])[C:2]([C:1]([H:13])([H:14])[H:15])([C:3]([H:16])([H:17])[H:18])[C:4]([H:19])([H:20])[H:21])[H:24],[H:25][C:10]1=[C:9]([N:8]([C:12](=[N:11]1)[H:26])[C:7]([H:22])([H:23])[C:5](=[O:6])[C:2]([C:1]([H:13])([H:14])[H:15])([C:3]([H:16])([H:17])[H:18])[C:4]([H:19])([H:20])[H:21])[H:24]
[H:13][C:3]1([C:2]([C:4]1([H:15])[N+:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[N:8]([H:22])[H:23])([H:12])[C:1]([H:9])([H:10])[H:11])[H:14],[H:13][C:3]1([C:2]([C:4]1([H:15])[N+:5]([H:16])([H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[N:8]([H:22])[H:23])([H:12])[C:1]([H:9])([H:10])[H:11])[H:14]
[H:13][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[C:6](=[O:7])[C:8]2([C:9]([C:10]([C:11]([N:12]2[H:22])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[H:15])[H:14],[H:13][C:1]1=[C:2]([S:3][C:4](=[N:5]1)[C:6](=[O:7])[C:8]2([C:9]([C:10]([C:11]([N:12]2[H:22])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[H:15])[H:14]
[H:8][C:1]([H:9])([C:2]([H:10])([C:3]([H:11])([H:12])[O:4][N:5]([H:13])[H:14])[O:6][H:15])[N+:7]([H:16])([H:17])[H:18],[H:8][C:1]([H:9])([C:2]([H:10])([C:3]([H:11])([H:12])[O:4][N:5]([H:13])[H:14])[O:6][H:15])[N+:7]([H:16])([H:17])[H:18]
[H:17][C:8]1=[C:7]([N:11]=[C:10]([S:9]1)[N:12]([H:18])[H:19])[C:4](=[N:3][O:2][C:1]([H:13])([H:14])[H:15])[C:5](=[O:6])[H:16],[H:17][C:8]1=[C:7]([N:11]=[C:10]([S:9]1)[N:12]([H:18])[H:19])[C:4](=[N:3][O:2][C:1]([H:13])([H:14])[H:15])[C:5](=[O:6])[H:16]
[H:16][c:3]1[c:4]([n+:5]([c:6]([c:7]([c:2]1[C:1]([H:13])([H:14])[H:15])[H:19])[H:18])[C:8]([H:20])([H:21])[C:9]([H:22])([C:10](=[O:11])[H:23])[O:12][H:24])[H:17],[H:16][c:3]1[c:4]([n+:5]([c:6]([c:7]([c:2]1[C:1]([H:13])([H:14])[H:15])[H:19])[H:18])[C:8]([H:20])([H:21])[C:9]([H:22])([C:10](=[O:11])[H:23])[O:12][H:24])[H:17]
[N:1]#[C:2][C:3]1=[C:8]([S:9][C:10]([C:11](=[O:12])[H:15])([H:13])[H:14])[S:7][N:6]=[C:4]1[I:5],[N:1]#[C:2][C:3]1=[C:8]([S:9][C:10]([C:11](=[O:12])[H:15])([H:13])[H:14])[S:7][N:6]=[C:4]1[I:5]
[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([C:7]([H:21])([H:22])[H:23])[O:8][H:24],[H:9][C:1]([H:10])([H:11])[C:2]([H:12])([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([H:19])[C:6]([H:20])([C:7]([H:21])([H:22])[H:23])[O:8][H:24]
[H:18][C:11](=[O:12])[C:10]([H:16])([H:17])[S:9][C:4]1=[C:3]([S:8][C:6](=[O:7])[S:5]1)[S:2][C:1]([H:13])([H:14])[H:15],[H:18][C:11](=[O:12])[C:10]([H:16])([H:17])[S:9][C:4]1=[C:3]([S:8][C:6](=[O:7])[S:5]1)[S:2][C:1]([H:13])([H:14])[H:15]
[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([C:5]([H:20])([H:21])[O:6][H:22])[C:7]([H:23])([O:8][H:24])[O:9][C:10]([H:25])([H:26])[C:11]([H:27])([H:28])[H:29],[H:12][C:1]([H:13])([H:14])[C:2]([H:15])([H:16])[C:3]([H:17])([H:18])[C:4]([H:19])([C:5]([H:20])([H:21])[O:6][H:22])[C:7]([H:23])([O:8][H:24])[O:9][C:10]([H:25])([H:26])[C:11]([H:27])([H:28])[H:29]
